classification,text
News & Politics,"Start your day with award-winning co-hosts Norah O’Donnell, Gayle King and John Dickerson in Studio 57 as they, along with CBS News correspondents around the world, bring you the most important headlines, intelligent conversations and world-class original reporting from around the world."
Shopping,挖财君向所有挖财的财友征集音频了~大家可以讲述自己的理财故事，分享自己的投资经验。我们会把优秀的音频在财友主播的专辑里更新。
Aviation,EnElAire es la evolución de la comunicación en el mundo aeronáutico.
National,"Sandy and Nora talk politics, radical social change, what's currently wrong with the Left and what must happen to make it right."
TV & Film,"The #1 source on the internet for all your ""Bachelor,"" ""Bachelorette,"" and ""Bachelor in Paradise"" spoilers, Reality Steve talks about each episode, answers your emails, and covers everything you need to know about what's going on in Bachelor Nation.

For years, he's been giving you the inside scoop on all things ""Bachelor""-related.  Now, hear him speak weekly on the subject, along with candid conversations with former contestants and others in the reality TV world, along with all your latest juicy gossip.

It's candid, it's colorful, and it may be crass, but that's why he's Reality Steve."
Medicine,"Looking for real answers to your real life marriage problems?
This podcast addresses the real issues that marriages face every day. Whether your spouse is in love with someone else, sexual issues are destroying your marriage, or you are wanting to know how to make your marriage stronger - this podcast is for you.

Want a question answered? Submit your questions to askjoe@marriagehelper.com.
 
http://www.MarriageHelper.com and http://www.MarriageRadio.com"
Christianity,"The Potter's Touch, a weekly program, with Bishop T.D. Jakes, tackles today's topics and confronts the hidden issues and invisible scars that go untreated. This broadcast carries healing and restoration into homes of hurting people, unearthing taboo topics and offering practical and spiritual solutions to life's toughest questions."
Natural Sciences,"Naked Neuroscience - A spine-tingling interactive exploration of the brain, from the Naked Scientists"
TV & Film,"Comedian and actor Gilbert Gottfried, a man Stephen King once called “a national treasure,” talks with the show business legends, icons and behind-the-scenes talents who shaped his childhood and influenced his comedy.

Along with co-host and fellow pop culture fanatic Frank Santopadre, Gilbert is joined by comics, actors, musicians, talk show hosts, writers and other eyewitnesses to Hollywood history, including Bruce Dern, Chevy Chase, “Weird Al” Yankovic, Adam West, Steve Buscemi, Micky Dolenz, Jim Gaffigan, Judd Apatow and DOZENS more, for a funny, frenetic, fly-on-the-wall look at showbiz then and now (but mostly then.)

Gilbert Gottfried’s Amazing Colossal Podcast was named ""Best Podcast of 2015"" by the Village Voice and one of iTunes' ""Best of 2014."" It has been featured in Rolling Stone, Wired and the Los Angeles Times."
Christianity,"Messages from Passion City Church, visit us at passioncitychurch.com"
Christianity,"Welcome to Dr. Bill Winston's audio podcast.  Dr. Bill and Veronica Winston are pastors of Living Word Christian Center in Forest Park, IL, a vibrant and diverse church with 20,000 members."
National,Välkommen till Järnvägspodden – Trafikverkets podcast för dig i järnvägsbranschen. Nyheter och fördjupningar publiceras i ett nytt avsnitt var tredje vecka.
Natural Sciences,"Darren Naish and John Conway talk all things tetrapod, and some things not."
Video Games,Unbiased Video Game News
Gadgets,"See all the steps for solving tech problems or just getting more out of What you're using. Whether it's a computer tip, tweaks and tricks for your DVR, or ways to get more out of your smartphone, you'll find it in CNET How to. Each video is helpfully rated easy, medium, difficult or supergeek."
National,The Business of Government Hour features a conversation about management with a government executive who is changing the way government does business.
Christianity,"New Life Live! is America's #1 Christian counseling call-in show. Author and New Life Ministries founder, Steve Arterburn, along with his tag-team of co-hosts, offer advice and address issues concerning spiritual, relational and emotional issues within our culture today. Tag-team counselors: Dr. Henry Cloud, Dr. John Townsend, Dr. Jill Hubbard, Dr. David Stoop, Rev. Milan Yerkovich, Chris Williams, Dr. Alice Benton and Dr. Sheri Keffer. Call New Life Ministries at 1-800-639-5433."
Outdoor,"Nock On podcast are educational archery tips  from Pro Archer John Dudley. John is an accomplished professional, top level coach and technical expert. Get professional insights to new products and industry trends."
Automotive,"Hear It Before You Buy It! What would your automobile sound like with a custom performance exhaust? Listen to sound clips clip from many manufacturers of exhaust system on any car, truck, van or suv. Get advice from our muffler techs or get info from other visitors from our message board."
History,"The Audible Originals series Presidents Are People Too! recasts each of the American Presidents as real-life people, complete with flaws, quirks, triumphs, scandals and bodily ailments. Hosts Elliott Kalan, former Daily Show head writer, and American historian and author Alexis Coe talk to experts, comedians, journalists, actors and re-enactors to better understand the men memorialized on the Washington Mall and those all but forgotten."
Hobbies,"Privateer Press Primecast is the official podcast of WARMACHINE, HORDES, and all things Privateer Press."
Personal Journals,A weekly reflection on a topical issue
Shopping,"On your side in a world of scams, frauds and rip-offs. The best in consumer journalism from You & Yours on BBC Radio 4."
Literature,"Author David Barr Kirtley talks geek culture with guests such as Neil Gaiman (#253), George R. R. Martin (#22), Richard Dawkins (#46), Paul Krugman (#61), Bill Nye (#273), Margaret Atwood (#94), Neil deGrasse Tyson (#32), and Joyce Carol Oates (#202). The A.V. Club calls the show, ""An informative and impressively in-depth podcast well worth checking out,"" and io9 lists it as one of ""13 Smart Podcasts That Will Feed Your Hunger for Knowledge and Ideas."" NPR's earbuds.fm lists the show as a recommended podcast, and CBC Radio writes, ""You may not think a podcast about science fiction and fantasy would be the place to go for political insight, but -- it is. Geek's Guide to the Galaxy manages to be more insightful about politics than many pundits."" Help crowdfund us at patreon.com/geeks"
Self-Help,"“Health has become overcomplicated. I aim to simplify it” 

In this podcast, we hear stories from leading health experts and exciting personalities who offer easy health life-hacks, expert advice and debunk common health myths giving you the tools to revolutionise how you eat, sleep, move and relax. Hosted by Dr Chatterjee – a GP with over 16 years’ experience, star of BBC 1’s Doctor in the House and author of The 4 Pillar Plan – Feel Better, Live More aims to inspire, empower and transform the way we feel. When we are healthier we are happier because when we feel better we live more. 


Find out more on: https://drchatterjee.com/"
